Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
1183.694073,1210.653493,1175.50273,1203.272283,114838.3075,,
1188.149804,1191.210306,1178.338195,1182.163822,55788.39403,,
1179.193335,1190.895254,1172.397221,1178.293188,80301.00896,,
1171.272037,1186.394516,1156.689646,1165.961166,138249.4299,,
1172.127177,1172.127177,1172.127177,1172.127177,0,,
1174.062494,1186.394516,1169.291712,1172.127177,72811.96119,,
1183.694073,1192.695549,1165.691122,1172.622258,213522.1254,,
1210.518471,1211.103567,1166.951328,1182.928948,274938.0448,,
1190.895254,1225.370906,1152.278923,1200.886892,796046.4537,,
1259.261463,1259.261463,1189.229981,1200.75187,602448.1254,,
1309.534705,1317.816063,1251.205142,1259.891566,458848.7463,,
1293.962152,1299.813112,1264.752363,1287.30106,47630.7403,,
1304.763923,1314.215473,1285.41075,1294.997322,92886.66269,,
1280.009865,1304.313849,1257.776219,1287.121031,205421.7493,,
1250.980105,1277.084385,1242.203666,1260.16161,63494.43582,,
1240.853445,1275.374105,1232.34705,1257.281138,88064.32836,,
1248.459692,1268.307946,1237.83795,1256.516013,61052.42687,,
1230.411733,1260.116603,1217.944689,1240.718423,54793.74627,,
1243.958954,1244.138983,1226.496091,1235.632589,24683.34627,,
1253.005437,1260.206618,1238.603076,1244.048969,25208.75821,,
1269.208094,1277.309422,1242.203666,1250.485024,38145.78806,,
1251.430179,1271.098404,1236.847788,1268.037902,150394.4866,,
1266.957725,1276.004208,1237.702928,1247.874596,96469.81791,,
1220.645132,1264.662348,1210.698501,1259.396485,296500.8627,,
1214.299091,1227.261216,1209.798353,1220.600124,37254.6806,,
1215.244246,1229.466578,1201.156936,1214.029047,52835.29254,,
1211.013552,1211.013552,1211.013552,1211.013552,0,,
1207.27794,1225.325899,1196.296139,1211.013552,71422.9791,,
1212.94887,1214.119062,1190.940261,1207.27794,31080.81493,,
1213.398943,1215.199239,1203.407305,1208.628161,41394.08955,,
1192.695549,1223.300567,1192.695549,1215.829342,212514.2597,,
1166.591269,1197.15128,1166.591269,1190.805239,61777.20896,,
1166.546262,1183.604058,1156.689646,1162.675627,168342.206,,
1179.148328,1184.459199,1157.004697,1159.075037,319780.9075,,
1174.692597,1188.374841,1164.385908,1168.12152,41140.74627,,
1189.094959,1189.094959,1170.191859,1176.852952,87266.84776,,
1197.196287,1197.196287,1173.79245,1177.438047,74936.7403,,
1193.595697,1193.595697,1193.595697,1193.595697,0,,
1180.408535,1197.016257,1179.193335,1193.595697,17391.46567,,
1187.294664,1198.096435,1172.262199,1174.827619,108438.6358,,
1192.695549,1202.282121,1170.191859,1176.447885,74360.6597,,
1219.699977,1238.603076,1177.618077,1186.529538,203584.4597,,
1161.190384,1223.300567,1154.754328,1185.98945,455073.9313,,
1123.024126,1159.795155,1093.679315,1151.423782,406064.1224,,
1115.372872,1138.686694,1071.175625,1087.558311,407977.4149,,
1110.917141,1128.785071,1102.86082,1107.856639,42167.33731,,
1112.582414,1129.685218,1084.677839,1109.56692,32757.28657,,
1101.780643,1115.237849,1084.767854,1098.090038,27218.98209,,
1129.685218,1138.686694,1101.600614,1115.012813,35498.90149,,
1125.18448,1136.34631,1103.670953,1121.043801,81905.88358,,
1152.188908,1157.769823,1117.128159,1124.734406,38870.57015,,
1156.77966,1168.706616,1136.166281,1144.627668,34032.81493,,
1156.77966,1156.77966,1156.77966,1156.77966,0,,
1181.893778,1181.893778,1152.188908,1156.77966,32502.84179,,
1161.190384,1181.803763,1156.689646,1167.806468,127574.8657,,
1188.194811,1188.194811,1155.609469,1160.335243,65209.4597,,
1166.186203,1196.296139,1166.186203,1178.068151,261569.2299,,
1192.695549,1198.051427,1147.778185,1161.190384,61397.19403,,
1224.695796,1235.902633,1201.78704,1207.457969,49958.19403,,
1246.614389,1249.809913,1209.978383,1219.249903,40339.96119,,
1238.603076,1251.205142,1200.481826,1240.94346,64540.85373,,
1254.130622,1254.130622,1199.89673,1237.477891,113963.7224,,
1264.707356,1278.20957,1239.503223,1244.814094,59713.01194,,
1287.211045,1317.771056,1262.817046,1280.189894,133875.403,,
1280.819998,1280.819998,1280.819998,1280.819998,0,,
1254.355659,1305.16899,1233.472235,1280.819998,65120.23881,,
1274.158905,1291.711783,1219.699977,1269.028064,121237.9791,,
1302.288517,1302.288517,1246.974448,1281.225064,107819.597,,
1299.092993,1323.216949,1277.894518,1292.611931,117517.1373,,
1274.608979,1305.213997,1210.698501,1286.355905,142041.8687,,
1294.052167,1302.648576,1215.199239,1249.719898,92670.77015,,
1298.732934,1319.661366,1194.585859,1288.966333,160324.4418,,
1295.537411,1295.537411,1295.537411,1295.537411,0,,
1299.228016,1322.136772,1230.681777,1295.537411,219937.2179,,
1288.561267,1313.315325,1286.355905,1299.228016,80784.56418,,
1298.012816,1306.114145,1283.925507,1297.652757,451996.3612,,
1318.716211,1365.523885,1272.808684,1303.773761,465053.4537,,
1317.501012,1317.501012,1317.501012,1317.501012,0,,
1249.404847,1332.218425,1239.683253,1317.501012,623557.1284,,
1238.603076,1258.811389,1221.18522,1251.655216,183730.0567,,
1215.69432,1256.606028,1194.720881,1236.532736,276319.3164,,
1177.39304,1239.323194,1174.737605,1212.408781,361781.9194,,
1152.864018,1178.293188,1143.277447,1166.591269,184562.7851,,
1162.090531,1162.090531,1126.084628,1141.522159,62672.72239,,
1174.692597,1174.692597,1130.00027,1149.668495,62825.82985,,
1197.106272,1197.106272,1171.992155,1175.187679,89324.43582,,
1184.594221,1192.695549,1171.992155,1177.753099,45623.8209,,
1201.516995,1203.407305,1170.101845,1178.788269,71161.92537,,
1187.294664,1228.701452,1171.992155,1192.605534,183001.9701,,
1197.106272,1197.601353,1172.892302,1176.717929,58046.45373,,
1192.650542,1201.697025,1186.394516,1189.274988,54148.27164,,
1197.196287,1219.699977,1184.144147,1187.609715,141371.0597,,
1161.145376,1202.597172,1147.68817,1196.566184,242773.3612,,
1143.322454,1143.322454,1143.322454,1143.322454,0,,
1111.682266,1153.989203,1106.416403,1143.322454,442881.5104,,
1114.382709,1142.557329,1086.118075,1106.371396,267153.797,,
1082.787529,1115.282857,1075.766378,1104.166034,94497.04478,,
1085.577987,1101.780643,1075.766378,1078.64685,25639.44179,,
1086.613156,1086.613156,1086.613156,1086.613156,0,,
1077.386644,1096.379758,1074.776216,1086.613156,67598.59702,,
1086.02806,1086.073068,1069.37533,1072.075773,429783.6627,,
1080.672182,1093.679315,1080.672182,1085.983053,147347.7582,,
1099.890333,1099.890333,1072.97592,1080.447145,29534.3194,,
1096.019698,1098.270067,1084.227765,1091.608975,28352.41791,,
1079.276953,1103.220879,1065.099629,1088.0984,39264.90448,,
1089.178577,1098.180053,1071.445669,1075.316304,27864.45672,,
1085.577987,1092.73416,1080.177101,1083.867706,13596.82388,,
1119.333521,1119.333521,1073.471002,1084.632832,37061.9194,,
1096.694809,1104.886152,1086.478134,1091.87902,22679.73134,,
1084.677839,1116.183004,1084.677839,1096.694809,43829.48955,,
1076.576511,1097.684972,1061.274002,1088.77351,50389.9791,,
1069.37533,1074.776216,1057.673411,1069.735389,37174.27164,,
1056.683249,1067.575035,1044.171198,1058.438537,43758.99403,,
1057.673411,1075.676363,1036.654965,1056.908286,68520.54627,,
1034.179559,1059.473707,1030.713991,1051.597415,61857.61791,,
1026.123239,1037.825157,1017.16677,1029.228748,70493.3194,,
1048.581921,1062.129142,1016.266623,1021.622501,205744.4866,,
1080.177101,1087.378282,1036.069869,1042.010843,83645.1403,,
1072.750883,1080.177101,1064.874592,1068.025109,33343.2806,,
1071.670706,1083.372625,1057.673411,1064.784577,36926.43582,,
1105.741292,1111.637259,1072.660869,1075.316304,39130.52239,,
1099.170215,1109.881971,1065.054622,1096.919846,66872.71343,,
1129.685218,1134.095941,1100.700466,1107.091514,46393.76418,,
1105.336226,1128.9651,1090.978872,1123.609222,90249.68955,,
1090.393776,1111.682266,1084.857868,1105.741292,98429.37313,,
1057.988463,1085.577987,1057.988463,1081.212271,85503.35821,,
1071.130618,1071.130618,1053.262688,1056.998301,25670.28358,,
1064.784577,1070.275478,1054.027814,1064.244489,30836.28358,,
1058.168493,1071.040603,1054.117828,1061.589053,22869.18806,,
1058.2135,1069.915419,1053.172673,1056.368197,21611.28358,,
1068.745227,1071.040603,1046.916648,1063.524371,24749.43582,,
1044.12619,1090.078724,1044.12619,1060.823928,88436.63284,,
1062.624223,1063.074297,1036.069869,1042.145866,35919.67164,,
1072.075773,1077.701695,1057.673411,1067.48502,25255.0209,,
1048.806958,1074.731208,1048.806958,1069.510352,22366.90746,,
1091.87902,1091.87902,1064.874592,1070.500514,28743.44776,,
1085.577987,1096.379758,1076.981577,1091.203909,34386.39403,,
1098.090038,1103.130864,1080.177101,1085.17292,31949.89254,,
1102.680791,1111.682266,1078.376806,1084.13775,53612.94627,,
1090.933865,1100.880495,1073.425994,1087.873363,28432.82687,,
1098.180053,1111.502237,1087.738341,1090.933865,41074.65672,,
1124.104303,1138.641687,1089.178577,1093.409271,87858.34925,,
1135.986251,1141.297122,1123.384185,1127.749901,14706.02687,,
1160.74031,1181.668741,1125.634554,1136.391318,66975.15224,,
1134.726045,1164.745967,1120.683742,1156.059542,118467.7254,,
1125.18448,1152.188908,1107.226536,1124.599384,39852,,
1126.984775,1152.188908,1112.672429,1124.239325,71650.98806,,
1088.278429,1141.387137,1082.022404,1133.060772,118871.9731,,
1044.261212,1080.177101,1037.825157,1076.93657,56787.44776,,
1059.023633,1064.064459,1034.269574,1045.206367,56471.3194,,
1093.5893,1093.5893,1056.728256,1066.899924,63553.91642,,
1109.476905,1120.683742,1072.210795,1083.642669,44897.93731,,
